empower_medicare_bene,empower_power_depend,abbrev,county,fips
1521,94,KS,Mitchell,20123
4314,306,KS,Sumner,20191
1913,145,KS,Clay,20027
730,68,KS,Lincoln,20105
1223,65,KS,Ottawa,20143
2010,131,KS,Rice,20159
10666,568,KS,Saline,20169
1643,143,KS,Kingman,20095
4138,231,KS,Dickinson,20041
7536,366,KS,Harvey,20079
1310,136,KS,Harper,20077
1409,129,KS,Washington,20201
1246,104,KS,Ellsworth,20053
13143,670,KS,Reno,20155
81801,4690,KS,Sedgwick,20173
1371,138,KS,Phillips,20147
4775,368,KS,Ellis,20051
1861,159,KS,Pratt,20151
813,98,KS,Rush,20165
1734,170,KS,Russell,20167
5334,400,KS,Barton,20009
811,86,KS,Jewell,20089
474,41,KS,Comanche,20033
1320,133,KS,Pawnee,20145
1062,95,KS,Smith,20183
1102,137,KS,Barber,20007
901,80,KS,Osborne,20141
465,46,KS,Clark,20025
891,68,KS,Stafford,20185
682,77,KS,Edwards,20047
557,45,KS,Kiowa,20097
1195,97,KS,Rooks,20163
743,84,KS,Decatur,20039
366,43,KS,Hamilton,20075
353,48,KS,Wallace,20199
406,40,KS,Lane,20101
679,73,KS,Trego,20195
270,26,KS,Greeley,20071
315,25,KS,Stanton,20187
1217,178,KS,Sherman,20181
712,57,KS,Cheyenne,20023
942,68,KS,Scott,20171
768,69,KS,Stevens,20189
643,79,KS,Graham,20065
537,66,KS,Morton,20129
653,63,KS,Gove,20063
3708,214,KS,Ford,20057
646,59,KS,Logan,20109
670,77,KS,Rawlins,20153
1408,155,KS,Thomas,20193
758,74,KS,Ness,20135
532,26,KS,Haskell,20081
4022,222,KS,Finney,20055
519,42,KS,Sheridan,20179
2149,216,KS,Seward,20175
1062,117,KS,Norton,20137
598,49,KS,Kearny,20093
360,30,KS,Hodgeman,20083
742,50,KS,Meade,20119
444,36,KS,Wichita,20203
1035,82,KS,Grant,20067
1055,66,KS,Gray,20069
141463,6214,FL,Volusia,12127
6044,257,FL,Hendry,12051
178642,6823,FL,Orange,12095
301117,9791,FL,Broward,12011
306942,8510,FL,Palm Beach,12099
444010,16458,FL,Miami-Dade,12086
32130,2302,FL,Highlands,12055
8948,527,FL,Okeechobee,12093
54312,1808,FL,Saint Johns,12109
1412,91,FL,Glades,12043
104659,4748,FL,Lake,12069
67982,2983,FL,Seminole,12117
152714,7059,FL,Duval,12031
44581,1394,FL,Martin,12085
15974,380,FL,Monroe,12087
35212,1211,FL,Flagler,12035
150039,6777,FL,Polk,12105
72932,2599,FL,Saint Lucie,12111
95922,2507,FL,Collier,12021
54475,2104,FL,Osceola,12097
20956,898,FL,Nassau,12089
146290,6458,FL,Brevard,12009
50712,1555,FL,Indian River,12061
55236,2786,FL,Hernando,12053
3681,209,FL,Gilchrist,12041
56302,2434,FL,Citrus,12017
6946,373,FL,De Soto,12027
99447,3284,FL,Manatee,12081
229074,8453,FL,Pinellas,12103
122747,5951,FL,Pasco,12101
72670,2071,FL,Sumter,12119
4864,336,FL,Bradford,12007
184846,6461,FL,Lee,12071
17915,1047,FL,Putnam,12107
10376,587,FL,Levy,12075
14760,835,FL,Columbia,12023
4511,288,FL,Baker,12003
136403,4402,FL,Sarasota,12115
2088,152,FL,Union,12125
39672,1884,FL,Clay,12019
105522,4744,FL,Marion,12083
42767,1820,FL,Alachua,12001
4262,295,FL,Hardee,12049
223955,9096,FL,Hillsborough,12057
66542,2607,FL,Charlotte,12015
3718,310,FL,Dixie,12029
3325,163,FL,Jefferson,12065
1023,81,FL,Lafayette,12067
2967,152,FL,Hamilton,12047
10411,583,FL,Suwannee,12121
4628,309,FL,Taylor,12123
4405,219,FL,Madison,12079
5714,326,FL,Wakulla,12129
2827,192,FL,Franklin,12037
1298,110,FL,Liberty,12077
9519,488,FL,Gadsden,12039
40664,1735,FL,Leon,12073
2671,187,FL,Calhoun,12013
35045,2033,FL,Bay,12005
4939,278,FL,Holmes,12059
11126,552,FL,Jackson,12063
5036,282,FL,Washington,12133
3863,224,FL,Gulf,12045
13180,564,FL,Walton,12131
65367,2578,FL,Escambia,12033
39716,1843,FL,Okaloosa,12091
34035,1513,FL,Santa Rosa,12113
7250,354,SC,Williamsburg,45089
29531,1203,SC,Berkeley,45015
5904,345,SC,Marlboro,45069
14008,845,SC,Darlington,45031
29230,1592,SC,Florence,45041
21047,1099,SC,Sumter,45085
7059,457,SC,Marion,45067
66003,1959,SC,Charleston,45019
98491,3997,SC,Horry,45051
3313,179,SC,Lee,45061
8084,471,SC,Clarendon,45027
6092,425,SC,Dillon,45033
15635,717,SC,Georgetown,45043
8906,565,SC,Chesterfield,45025
7440,419,SC,Chester,45023
25870,1050,SC,Dorchester,45035
3088,150,SC,Bamberg,45009
33756,1224,SC,Aiken,45003
9202,384,SC,Newberry,45071
53532,2327,SC,Lexington,45063
50685,1196,SC,Beaufort,45013
14621,673,SC,Kershaw,45055
19627,807,SC,Orangeburg,45075
9264,639,SC,Colleton,45029
4958,294,SC,Hampton,45049
10883,665,SC,Cherokee,45021
22316,1017,SC,Lancaster,45057
1955,107,SC,Allendale,45005
5232,222,SC,Fairfield,45039
4187,155,SC,Jasper,45053
6776,355,SC,Union,45087
59087,2205,SC,Richland,45079
2464,100,SC,Calhoun,45017
44275,1809,SC,York,45091
4697,222,SC,Barnwell,45011
2894,131,SC,Saluda,45081
15845,742,SC,Greenwood,45047
13117,703,SC,Laurens,45059
40199,1993,SC,Anderson,45007
27256,1491,SC,Pickens,45077
95807,4395,SC,Greenville,45045
60943,3304,SC,Spartanburg,45083
6741,252,SC,Edgefield,45037
4838,238,SC,Abbeville,45001
3770,160,SC,Mccormick,45065
20651,1003,SC,Oconee,45073
9224,382,VA,Culpeper,51047
7310,301,VA,Warren,51187
4469,147,VA,Manassas City,51683
18621,816,VA,Spotsylvania,51177
56746,1988,VA,Chesterfield,51041
3679,233,VA,Brunswick,51025
3636,141,VA,Prince George,51149
5172,272,VA,Caroline,51033
5050,257,VA,Colonial Heights City,51570
4550,142,VA,Lancaster,51103
1889,87,VA,Richmond,51159
8785,450,VA,Salem,51775
10181,715,VA,Henry,51089
7943,234,VA,Charlottesville City,51540
5273,258,GA,Butts,13035
5344,261,GA,Lumpkin,13187
22139,920,GA,Forsyth,13117
7949,562,GA,Fannin,13111
3993,211,GA,Lee,13177
7778,527,GA,Gilmer,13123
18730,1109,GA,Floyd,13115
9124,691,GA,Polk,13233
21995,1424,GA,Carroll,13045
5240,230,GA,Harris,13145
10234,719,GA,Gordon,13129
14882,887,GA,Paulding,13223
6018,401,GA,Haralson,13143
575,31,GA,Clay,13061
34238,1448,GA,Muscogee,13215
9492,575,GA,Catoosa,13047
12560,870,GA,Troup,13285
849,46,GA,Quitman,13239
2420,106,VA,Poquoson City,51735
35778,1767,VA,Chesapeake City,51550
13045,616,VA,Rockingham,51165
744,65,VA,Highland,51091
15014,590,VA,Frederick,51069
8844,493,VA,Mecklenburg,51117
13001,1118,VA,Montgomery,51121
3551,296,VA,Floyd,51063
5076,335,VA,Patrick,51141
3543,375,VA,Radford,51750
3418,331,VA,Grayson,51077
4501,595,VA,Giles,51071
16621,998,VA,Portsmouth City,51740
8377,417,VA,Accomack,51001
8038,797,VA,Wythe,51197
5908,579,VA,Carroll,51035
8230,908,VA,Smyth,51173
7484,847,VA,Pulaski,51155
51890,1929,NJ,Atlantic,34001
59539,1831,NJ,Mercer,34021
17054,1135,NY,Cattaraugus,36009
45525,2206,NY,Niagara,36063
8023,453,NY,Wyoming,36121
29319,1763,NY,Chautauqua,36013
1724,365,NV,White Pine,32033
12957,1474,NV,Carson City,32510
303,46,NV,Eureka,32011
5851,597,NV,Elko,32007
13527,1399,NV,Lyon,32019
809,70,NV,Lander,32015
79993,5854,NV,Washoe,32031
391,28,NV,Storey,32029
1022,104,NV,Lincoln,32017
755,97,NV,Pershing,32027
246,33,NV,Esmeralda,32009
4899,174,WI,Marquette,55077
7948,334,WI,Lincoln,55069
13231,477,WI,Columbia,55021
754,31,WI,Menominee,55078
21450,638,WI,La Crosse,55063
3917,195,WI,Jackson,55053
6733,222,WI,Vernon,55123
4126,162,WI,Ashland,55003
3088,142,WI,Lafayette,55065
4050,137,WI,Bayfield,55007
4065,178,WI,Crawford,55023
30247,1630,VA,Norfolk City,51710
2241,211,WV,Pocahontas,54075
12407,799,WV,Monongalia,54061
6619,330,WV,Mineral,54057
7280,582,WV,Preston,54077
3086,198,WV,Hardy,54031
2729,187,VA,Mathews,51115
5307,342,WV,Hampshire,54027
3679,353,WV,Barbour,54001
1808,159,WV,Tucker,54093
2841,192,WV,Grant,54023
7082,631,WV,Randolph,54083
12912,978,WV,Marion,54049
2066,120,WV,Pendleton,54071
5483,487,WV,Upshur,54097
3147,243,WV,Taylor,54091
4113,167,WV,Morgan,54065
4166,400,WV,Wetzel,54103
5687,546,WV,Boone,54005
6564,616,WV,Marshall,54051
3517,173,VA,Northampton,51131
23096,1035,VA,Hampton City,51650
68186,3083,VA,Virginia Beach City,51810
13783,370,VA,James City,51095
16025,612,VA,Stafford,51179
1475,80,VA,Surry,51181
19824,689,VA,Hanover,51085
14603,321,VA,Alexandria City,51510
1583,125,VA,King And Queen,51097
3678,155,VA,Middlesex,51119
7122,502,WV,Jackson,54035
8094,658,WV,Hancock,54029
20773,1462,WV,Wood,54107
2945,145,VA,Emporia City,51595
1427,77,VA,Rappahannock,51157
2852,142,VA,Essex,51057
3976,98,VA,Northumberland,51133
7941,392,VA,Gloucester,51073
29203,1223,VA,Richmond City,51760
5078,181,VA,Powhatan,51145
2398,248,WV,Webster,54101
5557,502,WV,Mcdowell,54047
15030,1243,WV,Harrison,54033
2586,256,WV,Clay,54015
1550,119,WV,Pleasants,54073
11631,1169,WV,Fayette,54019
15705,1339,WV,Mercer,54055
5757,612,WV,Wyoming,54109
3062,255,WV,Braxton,54007
3540,238,WV,Roane,54087
4341,430,WV,Monroe,54063
1017,101,WV,Doddridge,54017
1502,125,WV,Wirt,54105
1858,177,WV,Tyler,54095
8364,906,WV,Greenbrier,54025
2166,51,VA,Falls Church City,51610
4847,160,VA,Goochland,51075
9755,385,VA,Orange,51137
3199,125,VA,King William,51101
7665,304,VA,Isle Of Wight,51093
11305,405,VA,Fauquier,51061
5910,154,VA,Fairfax City,51600
53522,1829,VA,Henrico,51087
2480,205,WV,Ritchie,54085
3053,261,WV,Summers,54089
17475,1869,WV,Raleigh,54081
6943,689,WV,Nicholas,54067
1387,137,WV,Gilmer,54021
4792,469,WV,Brooke,54009
1910,133,WV,Calhoun,54013
10662,850,WV,Ohio,54069
44059,3327,WV,Kanawha,54039
4253,397,WV,Lewis,54041
11016,848,WV,Putnam,54079
19368,1712,WV,Cabell,54011
8483,883,WV,Logan,54045
6303,641,WV,Mason,54053
5152,480,WV,Lincoln,54043
6817,756,WV,Mingo,54059
10093,945,WV,Wayne,54099
43734,1797,NY,Saratoga,36091
23671,1525,NY,Oswego,36075
36893,1435,NY,Ulster,36111
21973,1519,NY,Saint Lawrence,36089
8113,445,NY,Essex,36031
262739,7664,NY,Suffolk,36103
1492,108,NY,Hamilton,36041
55243,1702,NY,Dutchess,36027
3140,140,VA,Franklin City,51620
4962,158,VA,New Kent,51127
41025,1310,VA,Prince William,51153
1313,57,VA,Charles City,51036
3150,128,GA,Screven,13251
8274,388,GA,Camden,13039
7190,340,GA,Liberty,13179
5961,271,GA,Bryan,13029
47218,1773,GA,Chatham,13051
8124,427,GA,Effingham,13103
3029,109,VA,Manassas Park City,51685
19862,432,VA,Arlington,51013
26753,1216,VA,Newport News City,51700
2929,138,GA,Mcintosh,13191
17742,846,GA,Glynn,13127
4545,250,GA,Mcduffie,13189
2985,235,GA,Brantley,13025
23424,886,GA,Columbia,13073
2034,135,GA,Charlton,13049
458,17,GA,Taliaferro,13265
5575,300,GA,Toombs,13279
1925,86,GA,Lincoln,13181
1294,71,GA,Long,13183
1212,80,GA,Treutlen,13283
2042,94,GA,Candler,13043
3946,157,GA,Burke,13033
1454,127,GA,Atkinson,13003
1704,89,GA,Johnson,13167
4091,186,GA,Washington,13303
3746,154,GA,Jefferson,13163
9304,465,GA,Bulloch,13031
1032,48,GA,Wheeler,13309
2076,118,GA,Evans,13109
4127,302,GA,Pierce,13229
4534,233,GA,Emanuel,13107
32916,1444,GA,Richmond,13245
5594,422,GA,Wayne,13305
159,11,GA,Echols,13101
5063,239,GA,Elbert,13105
6937,657,GA,Coffee,13069
8078,592,GA,Ware,13299
3416,200,GA,Appling,13001
1395,124,GA,Clinch,13065
2661,176,GA,Jeff Davis,13161
5200,209,VA,Winchester City,51840
2232,117,VA,Sussex,51183
5298,278,VA,Hopewell City,51670
3384,117,VA,Clarke,51043
743,41,VA,Greensville,51081
3555,201,VA,Dinwiddie,51053
2749,144,VA,Amelia,51007
10713,317,VA,Williamsburg City,51830
4563,185,VA,Westmoreland,51193
3605,183,VA,Nottoway,51135
3724,155,VA,Fredericksburg City,51630
3529,145,VA,King George,51099
7048,296,VA,Louisa,51109
11593,576,VA,Petersburg City,51730
2803,143,VA,Southampton,51175
15495,766,VA,Suffolk City,51800
122998,2719,VA,Fairfax,51059
32801,923,VA,Loudoun,51107
8742,285,VA,York,51199
7295,383,VA,Waynesboro City,51820
7238,385,VA,Amherst,51009
1657,102,GA,Montgomery,13209
1243,50,GA,Warren,13301
1628,83,GA,Jenkins,13165
1867,172,GA,Bacon,13005
4092,213,GA,Tattnall,13267
2701,130,GA,Wilkes,13317
658,27,GA,Glascock,13125
5743,341,GA,Franklin,13119
3827,262,VA,Covington City,51580
1922,121,VA,Alleghany,51005
1109,73,VA,Craig,51045
2891,120,VA,Buckingham,51029
3484,135,VA,Greene,51079
3023,168,VA,Madison,51113
2232,147,VA,Lunenburg,51111
20309,1206,VA,Roanoke City,51770
3467,201,VA,Charlotte,51037
3217,295,GA,Cook,13075
19874,961,GA,Walton,13297
4818,219,GA,Hart,13147
12489,747,GA,Barrow,13013
9492,532,GA,Habersham,13137
2358,142,GA,Wilkinson,13319
3703,357,GA,Berrien,13019
2130,108,GA,Hancock,13141
7553,590,GA,Tift,13277
31461,1533,GA,Hall,13139
4187,312,GA,Crisp,13081
17263,702,GA,Clarke,13059
2533,146,GA,Bleckley,13023
2326,98,GA,Jasper,13159
4020,250,GA,Dodge,13091
6764,381,GA,Peach,13225
6975,373,GA,White,13311
1792,76,GA,Twiggs,13289
4141,173,GA,Morgan,13211
3283,178,GA,Jones,13169
3343,244,GA,Worth,13321
7164,530,GA,Stephens,13257
8158,646,GA,Colquitt,13071
9484,326,VA,Harrisonburg City,51660
3676,244,GA,Banks,13011
1705,109,GA,Wilcox,13315
4919,265,GA,Towns,13281
2065,131,GA,Dooly,13093
2125,125,GA,Pulaski,13235
18251,1007,GA,Lowndes,13185
2007,221,GA,Turner,13287
3827,242,GA,Ben Hill,13017
1229,106,GA,Lanier,13173
1814,103,GA,Oglethorpe,13221
1482,109,GA,Irwin,13155
5548,184,GA,Greene,13133
4876,309,GA,Rabun,13241
6291,234,GA,Oconee,13219
2774,158,GA,Brooks,13027
2141,132,GA,Telfair,13271
9772,563,GA,Laurens,13175
6295,335,GA,Madison,13195
5254,209,GA,Putnam,13237
17668,849,GA,Newton,13217
32468,1410,GA,Bibb,13021
1978,138,VA,Buena Vista City,51530
12920,639,VA,Franklin,51067
17521,872,VA,Bedford,51019
11038,801,VA,Pittsylvania,51143
1371,103,VA,Bath,51017
1387,68,VA,Cumberland,51049
20194,889,VA,Roanoke,51161
10775,590,VA,Augusta,51015
14603,1317,VA,Danville City,51590
9043,482,VA,Halifax,51083
10149,474,VA,Shenandoah,51171
15123,784,GA,Jackson,13157
22533,1237,GA,Houston,13153
4405,206,GA,Monroe,13207
8257,393,GA,Baldwin,13009
12996,768,NY,Otsego,36077
51093,2028,NY,Albany,36001
10989,628,NY,Greene,36039
13176,701,NY,Herkimer,36043
16518,813,NY,Warren,36113
19123,1034,NY,Jefferson,36045
17933,1059,NY,Clinton,36019
240660,6189,NY,Nassau,36059
12920,637,NY,Madison,36053
13824,767,NY,Washington,36115
3784,182,VA,Lexington City,51678
17368,516,VA,Albemarle,51003
7410,360,VA,Botetourt,51023
17493,1163,GA,Bartow,13015
1336,69,GA,Calhoun,13037
2259,137,GA,Early,13099
5872,365,GA,Sumter,13261
21886,1022,GA,Coweta,13077
1360,67,GA,Marion,13197
32592,1410,GA,Henry,13151
1575,64,GA,Talbot,13263
5615,242,GA,Dawson,13085
17379,931,GA,Dougherty,13095
19217,1113,GA,Douglas,13097
377,36,GA,Webster,13307
87228,3417,GA,Gwinnett,13135
3481,171,GA,Pike,13231
1076,70,GA,Stewart,13259
14120,611,GA,Rockdale,13247
133196,4501,GA,Fulton,13121
155932,3744,NY,Westchester,36119
5385,270,NY,Lewis,36049
8526,581,NY,Cortland,36023
11,0,HI,Kalawao,15005
27044,588,HI,Maui,15009
40039,890,HI,Hawaii,15001
157753,3733,HI,Honolulu,15003
4538,107,WI,Kewaunee,55061
18811,706,WI,Eau Claire,55035
5273,186,WI,Sawyer,55113
3758,146,WI,Taylor,55119
1842,83,WI,Iron,55051
8415,282,WI,Monroe,55081
13023,555,WI,Chippewa,55017
3728,128,WI,Richland,55103
19601,705,WI,Wood,55141
4494,205,WI,Iowa,55049
4137,156,WI,Price,55099
9070,506,VA,Staunton City,51790
5716,304,VA,Page,51139
3070,179,VA,Rockbridge,51163
5046,202,VA,Nelson,51125
6831,482,GA,Murray,13213
1660,111,GA,Taylor,13269
1261,74,GA,Miller,13201
93338,3650,GA,Cobb,13067
470,21,GA,Baker,13007
10616,611,GA,Thomas,13275
40569,1795,GA,Cherokee,13057
5344,302,GA,Decatur,13087
4172,262,GA,Mitchell,13205
4565,246,GA,Grady,13131
13690,692,GA,Spalding,13255
8530,526,VA,Martinsville City,51690
3636,191,VA,Appomattox,51011
5215,167,VA,Fluvanna,51065
4902,229,VA,Prince Edward,51147
8529,448,VA,Campbell,51031
18547,821,VA,Lynchburg City,51680
4390,457,VA,Galax City,51640
1676,158,VA,Bland,51021
11506,1206,VA,Tazewell,51185
7609,964,VA,Russell,51167
6819,808,VA,Buchanan,51027
6510,652,VA,Scott,51169
14153,1341,VA,Washington,51191
4310,545,VA,Dickenson,51051
4131,479,VA,Bristol City,51520
1588,188,VA,Norton City,51720
10350,1109,VA,Wise,51195
5752,652,VA,Lee,51105
9989,455,WV,Jefferson,54037
19707,1037,WV,Berkeley,54003
3614,187,GA,Lamar,13171
2102,132,GA,Terrell,13273
28033,1218,GA,Clayton,13063
2189,110,GA,Macon,13193
93745,3086,GA,Dekalb,13089
8599,491,GA,Pickens,13227
5909,299,GA,Upson,13293
1212,62,GA,Crawford,13079
8259,496,GA,Union,13291
4465,271,GA,Meriwether,13199
551,31,GA,Chattahoochee,13053
21928,852,GA,Fayette,13113
758,56,GA,Schley,13249
1536,79,GA,Randolph,13243
1762,115,GA,Heard,13149
16427,1228,GA,Walker,13295
2126,125,GA,Seminole,13253
5823,446,GA,Chattooga,13055
16642,985,GA,Whitfield,13313
3315,221,GA,Dade,13083
26457,768,NJ,Sussex,34037
87516,3344,NJ,Camden,34007
78444,2044,NJ,Union,34039
25917,1073,NJ,Cape May,34009
79312,2852,NJ,Burlington,34005
118204,3383,NJ,Middlesex,34023
71272,2219,NJ,Hudson,34017
115926,3472,NJ,Monmouth,34025
45884,1278,NJ,Somerset,34035
143134,5275,NJ,Ocean,34029
47536,2092,NJ,Gloucester,34015
26644,1471,NJ,Cumberland,34011
78628,2017,NJ,Morris,34027
103819,2725,NJ,Essex,34013
150218,3672,NJ,Bergen,34003
21201,834,NJ,Warren,34041
74382,1929,NJ,Passaic,34031
13337,608,NJ,Salem,34033
23443,675,NJ,Hunterdon,34019
80495,2012,NY,Richmond,36085
17139,439,NY,Putnam,36079
12433,696,NY,Montgomery,36057
15726,941,NY,Sullivan,36105
48708,2517,NY,Oneida,36065
10513,546,NY,Tioga,36107
6571,413,NY,Schoharie,36095
41951,2018,NY,Broome,36007
29077,1372,NY,Rensselaer,36083
324348,7286,NY,Queens,36081
337114,9083,NY,Kings,36047
253007,5805,NY,New York,36061
14159,576,NY,Columbia,36021
10922,834,NY,Franklin,36033
87836,3960,NY,Onondaga,36067
11677,756,NY,Chenango,36017
11650,776,NY,Fulton,36035
51568,1516,NY,Rockland,36087
10147,682,NY,Delaware,36025
59095,2084,NY,Orange,36071
32465,1527,NY,Schenectady,36093
189897,4592,NY,Bronx,36005
20375,1338,NY,Steuben,36101
9416,652,NY,Allegany,36003
4330,285,NY,Schuyler,36097
15154,751,NY,Tompkins,36109
15340,951,NY,Cayuga,36011
23183,870,NY,Ontario,36069
5661,247,NY,Yates,36123
145512,4864,NY,Monroe,36055
6520,363,NY,Seneca,36099
12045,550,NY,Genesee,36037
20785,983,NY,Wayne,36117
18234,1125,NY,Chemung,36015
12937,687,NY,Livingston,36051
179103,7725,NY,Erie,36029
8120,407,NY,Orleans,36073
13529,254,HI,Kauai,15007
5283,489,NV,Churchill,32001
2717,256,NV,Humboldt,32013
322704,17632,NV,Clark,32003
1196,112,NV,Mineral,32021
15225,1201,NV,Nye,32023
14082,1164,NV,Douglas,32005
9234,359,WI,Door,55029
19381,696,WI,Walworth,55127
26071,1096,WI,Kenosha,55059
145106,5639,WI,Milwaukee,55079
19109,583,WI,Ozaukee,55089
23454,572,WI,Sheboygan,55117
26334,791,WI,Washington,55131
19781,693,WI,Fond Du Lac,55039
8002,227,WI,Oconto,55083
34242,981,WI,Outagamie,55087
1242,66,WI,Florence,55037
40220,1715,WI,Racine,55101
17617,668,WI,Dodge,55027
5250,156,WI,Calumet,55015
46111,1199,WI,Brown,55009
30808,943,WI,Winnebago,55139
12175,523,WI,Marinette,55075
81843,2350,WI,Waukesha,55133
18720,475,WI,Manitowoc,55071
12718,514,WI,Sauk,55111
4960,194,WI,Green Lake,55047
11613,413,WI,Oneida,55085
5846,238,WI,Waushara,55137
14062,525,WI,Waupaca,55135
7572,242,WI,Vilas,55125
12921,402,WI,Portage,55097
5483,205,WI,Langlade,55067
31105,1386,WI,Rock,55105
2228,96,WI,Forest,55041
7701,231,WI,Green,55045
3817,182,WI,Adams,55001
24877,826,WI,Marathon,55073
8588,310,WI,Shawano,55115
78773,2561,WI,Dane,55025
14711,579,WI,Jefferson,55055
11062,488,WI,Grant,55043
6666,335,WI,Clark,55019
6260,264,WI,Juneau,55057
3587,168,WI,Rusk,55107
8164,305,WI,Pierce,55093
8815,359,WI,Dunn,55033
5689,197,WI,Washburn,55129
6652,208,WI,Trempealeau,55121
10360,444,WI,Polk,55095
11146,478,WI,Barron,55005
4613,181,WI,Burnett,55013
9860,401,WI,Douglas,55031
1999,88,WI,Pepin,55091
13114,432,WI,Saint Croix,55109
3279,118,WI,Buffalo,55011
408,52,UT,Rich,49033
13095,1338,UT,Cache,49005
2948,460,UT,Duchesne,49013
36080,3317,UT,Davis,49011
1467,149,UT,Morgan,49029
33117,3624,UT,Weber,49057
1788,204,UT,Kane,49025
123196,11060,UT,Salt Lake,49035
3927,599,UT,Sevier,49041
1102,236,UT,Garfield,49017
404,91,UT,Piute,49031
5678,519,UT,Summit,49043
1932,343,UT,Emery,49015
222,32,UT,Daggett,49009
3967,616,UT,Uintah,49047
51022,4547,UT,Utah,49049
606,112,UT,Wayne,49055
4195,712,UT,Carbon,49007
4466,878,UT,Sanpete,49039
1888,200,UT,San Juan,49037
3695,346,UT,Wasatch,49051
1881,124,UT,Grand,49019
7819,762,UT,Box Elder,49003
2253,280,UT,Millard,49027
36773,2327,UT,Washington,49053
1130,176,UT,Beaver,49001
1535,258,UT,Juab,49023
7730,1001,UT,Iron,49021
6999,945,UT,Tooele,49045
95813,3392,MA,Suffolk,25025
1808,33,MA,Nantucket,25019
71514,1529,MA,Barnstable,25001
141661,5346,MA,Worcester,25027
1790,144,WY,Washakie,56043
5868,840,WY,Sweetwater,56037
2639,373,WY,Carbon,56007
13355,1799,WY,Natrona,56025
4739,714,WY,Albany,56001
7324,591,WY,Park,56029
2080,133,WY,Johnson,56019
6805,416,WY,Sheridan,56033
3357,244,WY,Teton,56039
1513,254,WY,Sublette,56035
4574,111,MA,Dukes,25007
111319,3993,MA,Bristol,25005
241097,6478,MA,Middlesex,25017
143861,4206,MA,Essex,25009
115648,3070,MA,Norfolk,25021
100726,3006,MA,Plymouth,25023
31081,912,MA,Hampshire,25015
93821,4101,MA,Hampden,25013
32230,1061,MA,Berkshire,25003
16976,547,MA,Franklin,25011
27516,634,RI,Washington,44009
105848,2887,RI,Providence,44007
10108,208,RI,Bristol,44001
17738,410,RI,Newport,44005
34874,1065,RI,Kent,44003
14686,517,MD,Worcester,24047
17367,806,MD,Cecil,24015
7207,418,MD,Dorchester,24019
8343,271,MD,Queen Annes,24035
10429,363,MD,Talbot,24041
17729,767,MD,Wicomico,24045
4367,217,MD,Somerset,24039
42697,1656,MD,Harford,24025
6120,235,MD,Kent,24029
6289,327,MD,Caroline,24011
96094,3268,MD,Baltimore City,24510
137341,4743,MD,Baltimore,24005
29326,1072,MD,Carroll,24013
14464,504,MD,Calvert,24009
80573,2536,MD,Anne Arundel,24003
38267,1199,MD,Frederick,24021
109206,2846,MD,Prince Georges,24033
39971,1131,MD,Howard,24027
136995,2849,MD,Montgomery,24031
15409,711,MD,Saint Marys,24037
20217,753,MD,Charles,24017
28483,1095,MD,Washington,24043
16408,802,MD,Allegany,24001
6390,399,MD,Garrett,24023
2418,334,WY,Converse,56009
1515,138,WY,Crook,56011
5286,610,WY,Campbell,56005
17660,2437,WY,Laramie,56021
2290,357,WY,Platte,56031
1526,175,WY,Weston,56045
571,82,WY,Niobrara,56027
2953,436,WY,Goshen,56015
3598,361,WY,Lincoln,56023
7956,849,WY,Fremont,56013
3233,509,WY,Uinta,56041
2550,280,WY,Big Horn,56003
1375,147,WY,Hot Springs,56017
